player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Black Lotus;Dark Depths;Vampire Hexmage;00;06;01;06;03;00;03;06;00;03;03;51
IMP;Helix Pinnacle;Black Lotus;Angelic Purge;00;00;06;00;00;00;00;06;00;00;00;51
Kratos Aurion;Black Lotus;Metamorphose;Cathartic Adept;04;00;00;03;00;00;03;06;00;00;00;51
Michael W;Black Lotus;Tree of Tales;Oko, Thief of Crowns;00;06;03;00;03;00;06;06;00;03;03;51
The Beast;Mishra's Workshop;Trinisphere;Lupine Prototype;03;06;06;03;00;00;03;06;06;00;03;51
hug77;Leyline of Anticipation;Black Lotus;Elite Spellbinder;06;06;06;06;06;00;06;00;00;00;06;51
Master_of_Desaster;Black Lotus;Gideon of the Trials;Dovin, Hand of Control;03;06;03;00;03;00;00;02;02;01;03;51
BlackHole;Hickory Woodlot;Tempting Wurm;Tempting Wurm;00;00;00;00;00;06;02;00;00;00;00;51
lollonator;Karakas;Path to Exile;Spiritual Visit;06;06;06;06;00;06;02;06;00;00;02;51
P0LTERGEIST;Mishra's Workshop;Trinisphere;Walking Ballista;03;06;06;03;06;06;04;06;06;00;03;51
The green one;Black Lotus;Curse of Silence;Thalia, Guardian of Thraben;03;06;06;03;03;00;03;06;02;03;00;51
