player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse; Force of Will; Misdirection; Vraska the Unseen;00;03;00;02;04;03;06;00;06;04;45
IMP; Lavinia, Azorius Renegade; Force of Will; Meddling Mage;03;00;00;03;03;03;06;03;06;03;45
lollonator; Memnite; Deputy of Detention; Mesmeric Fiend;00;00;00;00;00;00;00;00;00;00;45
Michael W; Ratchet Bomb; City of Traitors;Chandra, Awakened Inferno;02;03;00;00;00;00;00;00;00;04;45
hug77; Cavern of Souls; Leyline of Sanctity;Frost Titan;01;03;00;06;00;01;02;00;03;02;45
Kratos Aurion; Cavern of Souls; Sigarda, Host of Herons;Myr Scrapling;03;03;00;06;04;00;00;00;00;04;45
BlackHole; Black Lotus; Fist of Suns; Emrakul, the Aeons Torn;00;00;00;06;02;06;00;06;00;00;45
The Beast; Savage Summoning; Vampire Hexmage; Dark Depths;06;03;00;06;06;06;00;00;00;00;45
Master_of_Desaster; Hullbreaker Horror; Black Lotus; Noxious Revival;00;00;00;06;03;06;06;06;00;00;45
The green one; Surrak Dragonclaw; Snapback; Force of Negation;01;03;00;01;02;01;06;06;06;00;45
