player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Swamp;Hopeless Nightmare;Tel-Jilad Stylus;00;03;03;03;06;06;00;00;03;06;01;90
lordfire;Inkmoth Nexus;Pendelhaven;Cathedral of War;03;00;00;00;00;00;03;00;03;00;00;90
Kratos Aurion;Vraska the Unseen;Black Lotus;Black Lotus;03;06;00;00;06;06;01;02;00;04;00;90
Silver Seraph;Black Lotus;Black Lotus;Elspeth, Sun's Champion;03;06;06;00;00;06;00;01;01;06;00;90
BlackHole;Mishra's Workshop;Ensnaring Bridge;Scalding Tongs;00;06;00;06;00;00;06;06;00;06;06;90
lollonator;Peat Bog;Sanctum of Stone Fangs;Bitterblossom;00;06;00;00;06;00;00;06;00;03;06;90
hug77;Black Lotus;Davriel, Rogue Shadowmage;The Tabernacle at Pendrell Vale;06;03;04;06;00;06;00;06;03;06;06;90
P0LTERGEIST;Black Lotus;The Restoration of Eiganjo // Architect of Restoration;Pithing Needle;06;06;02;04;00;00;00;00;01;03;00;90
Master_of_Desaster;Black Lotus;Black Lotus;Ashiok, Nightmare Muse;03;03;06;04;06;06;03;04;00;06;00;90
IMP;Bitterblossom;Bitterblossom;Peat Bog;00;06;01;00;00;03;00;03;00;00;06;90
The Beast;Black Lotus;Pithing Needle;Bitterblossom;04;06;06;06;00;00;00;06;06;00;00;90
